key,en,es
languageName,"English","Español"
settingsTitle,"Settings","Opciones"
thisDevice,"This device","Este dispositivo"
ram,"RAM","RAM"
memoryInUse,"Memory in use","Memoria en uso"
deviceClass,"Class","Clase"
deviceClassLite,"Lite (4 GB)","Lite (4 GB)"
deviceClassBalanced,"Balanced (6 GB)","Balanced (6 GB)"
deviceClassPro,"Pro (8 GB)","Pro (8 GB)"
deviceClassUnknown,"Unknown","Desconocida"
deviceClassBlocked,"Not supported","No soportado"
language,"Language","Idioma"
languageSystem,"System","Sistema"
theme,"Theme","Tema"
themeAuto,"Automatic","Automático"
themeLight,"Light","Claro"
themeDark,"Dark","Oscuro"
advancedTitle,"Advanced mode","Modo avanzado"
advancedSubtitle,"Shows technical details: model names, per-response stats and memory use","Muestra detalles técnicos: nombres de modelos, métricas por respuesta y uso de memoria"
clearOnExitTitle,"Clear chat on exit","Borrar chat al salir"
mockEngineTitle,"Mock engine","Motor simulado"
mockEngineSubtitle,"Simulated responses for UI testing. No model needed","Respuestas simuladas para probar la interfaz. Sin modelo"
footer,"HiddenChat · models download from Hugging Face over HTTPS. Chats never leave this device.","HiddenChat · los modelos se descargan de Hugging Face por HTTPS. Los chats nunca salen de este dispositivo."
modelsSection,"Your assistant","Tu asistente"
downloadNote,"Depending on your connection, the download can take a few minutes. After that, it works without internet.","Según tu conexión, la descarga puede llevar varios minutos. Después, funciona sin internet."
refreshModelsButton,"Update available models","Actualizar modelos disponibles"
catalogRefreshFailed,"Could not refresh. Check your connection","No se pudo actualizar. Revisá tu conexión"
catalogUpToDate,"You already have the latest models","Ya contás con los últimos modelos"
catalogTierUpdatedLine,"The {tier} model was updated","Se actualizó el modelo {tier}"
catalogUpdatedTitle,"Models updated","Modelos actualizados"
storageUsedLabel,"Downloaded models","Modelos descargados"
noLongerOffered,"No longer offered. Delete to free space","Ya no se ofrece. Borralo para liberar espacio"
approxSuffix," (approx.)"," (aprox.)"
cancel,"Cancel","Cancelar"
ok,"OK","OK"
download,"Download","Descargar"
downloadAnyway,"Download anyway","Descargar igual"
